id,label,b_inggris,b_indo,status
1,Human-Head,Face,Wajah,Ulangi1
2,Human-Head,Hair,Rambut,Ulangi1
3,Human-Head,Forehead,Dahi,Ulangi1
4,Human-Head,Eyes (Plural),Mata,Ulangi1
5,Human-Head,Eyeball,Bola mata,Ulangi1
6,Human-Head,Eyebrows (Plural),Alis,Ulangi1
7,Human-Head,Eyelash,Bulu mata,Ulangi1
8,Human-Head,Eyelid,Kelopak mata,Ulangi1
9,Human-Head,Temple,Pelipis,Ulangi1
10,Human-Head,Ears (Plural),Telinga ,Ulangi1
11,Human-Head,Earlobe,Daun telinga,Ulangi1
12,Human-Head,Nose,Hidung,Ulangi1
13,Human-Head,Nostril,Lubang hidung,Ulangi1
14,Human-Head,Mouth,Mulut,Ulangi1
15,Human-Head,Lips,Bibir,Ulangi1
16,Human-Head,Teeth (Plural),Gigi,Ulangi1
17,Human-Head,Tongue,Lidah,Ulangi1
18,Human-Head,Cheeks (Plural),Pipi,Ulangi1
19,Human-Head,Chin,Dagu,Ulangi1
20,Human-Head,Jaw,Rahang,Ulangi1
21,Human-Head,Mustache,Kumis,Ulangi1
22,Human-Head,Beard,Jenggot,Ulangi1
23,Human-Head,Adam’s apple,Jakun,Ulangi1
24,Human-Head,Neck,Leher,Ulangi1
25,Human-Body,Shoulder,Pundak,Ulangi1
26,Human-Body,Chest,Dada,Ulangi1
27,Human-Body,Breast,Payudara,Ulangi1
28,Human-Body,Stomach/Belly/Tummy/Abdomen,Perut,Ulangi1
29,Human-Body,Belly button,Pusar,Ulangi1
30,Human-Body,Back,Punggung,Ulangi1
31,Human-Body,Arm,Lengan,Ulangi1
32,Human-Body,Upper Arm,Lengan atas,Ulangi1
33,Human-Body,Forearm,Lengan bawah,Ulangi1
34,Human-Body,Armpit,Ketiak,Ulangi1
35,Human-Body,Elbow,Siku,Ulangi1
36,Human-Body,Hands,Tangan,Ulangi1
37,Human-Body,Waist,Pinggang,Ulangi1
38,Human-Body,Hip,Panggul,Ulangi1
39,Human-Body,Buttocks,Pantat,Ulangi1
40,Human-Body,Groin,Kunci paha,Ulangi1
41,Human-Body,Thigh,Paha,Ulangi1
42,Human-Body,Leg,Kaki,Ulangi1
43,Human-Body,Knee,Lutut,Ulangi1
44,Human-Body,Calf,Betis,Ulangi1
45,Human-Foot,Toe,Jari kaki/ujung kaki,Ulangi1
46,Human-Foot,Heel,Tumit,Ulangi1
47,Human-Foot,Foot,Kaki,Ulangi1
48,Human-Foot,Sole,Telapak kaki,Ulangi1
49,Human-Foot,Instep,Punggung kaki,Ulangi1
50,Human-Foot,Toenail,Kukur jari kaki,Ulangi1
51,Human-Foot,Ankle,Pergelangan kaki,Ulangi1
52,Human-Hand,Finger,Jari,Ulangi1
53,Human-Hand,Fingers,Jari-jari,Ulangi1
54,Human-Hand,Thumb,Ibu jari,Ulangi1
55,Human-Hand,Index finger,Jari telunjuk,Ulangi1
56,Human-Hand,Middle finger,Jari tengah,Ulangi1
57,Human-Hand,Ring finger,Jari manis,Ulangi1
58,Human-Hand,Little finger,Jari kelingking,Ulangi1
59,Human-Hand,Palm hand,Telapak tangan,Ulangi1
60,Human-Hand,Wrist,Pergelangan tangan,Ulangi1
61,Human-Hand,Finger/nail,Kuku tangan,Ulangi1
62,Human-Hand,Phalanges,Ruas jari,Ulangi1
63,Human-Hand,Knuckle,Buku jari,Ulangi1
64,Human-Hand,Back of hand,Punggung tangan,Ulangi1
65,Human-Other,Mole,Tahi lalat,Ulangi1
66,Human-Other,Birth mark,Tanda lahir,Ulangi1
67,Human-Other,Skin,Kulit,Ulangi1
68,Number,One,satu,Ulangi1
69,Number,two,dua,Ulangi1
70,Number,three,tiga,Ulangi1
71,Number,four,empat,Ulangi1
72,Number,five,lima,Ulangi1
73,Number,six,enam,Ulangi1
74,Number,seven,tujuh,Ulangi1
75,Number,eight,delapan,Ulangi1
76,Number,nine,sembilan,Ulangi1
77,Number,ten,sepuluh,Ulangi1
78,Number,eleven,sebelas,Ulangi1
79,Number,twelve,dua belas,Ulangi1
80,Number,thirteen,tiga belas,Ulangi1
81,Number,fourteen,empat belas,Ulangi1
82,Number,fifteen,lima belas,Ulangi1
83,Number,sixteen,enam belas,Ulangi1
84,Number,seventeen,tujuh belas,Ulangi1
85,Number,eighteen,delapan belas,Ulangi1
86,Number,nineteen,sembilan belas,Ulangi1
87,Number,twenty,dua puluh,Ulangi1
88,Number,thirty,tiga puluh,Ulangi1
89,Number,forty,empat puluh,Ulangi1
90,Number,fifty,lima puluh,Ulangi1
91,Number,sixty,enam puluh,Ulangi1
92,Number,seventy,tujuh puluh,Ulangi1
93,Number,eighty,delapan puluh,Ulangi1
94,Number,ninety,sembilan puluh,Ulangi1
95,Number,hundred,ratus,Ulangi1
96,Number,thousand,ribu,Ulangi1
97,Number,million,juta,Ulangi1
98,Number,billion,milyar,Ulangi1
99,Number,trillion,triliun,Ulangi1
100,Animal,Alpaca,alpaka atau kambing peru,Ulangi1
101,Animal,Alligator,buaya,Ulangi1
102,Animal,Ant,semut,Ulangi1
103,Animal,Antelope,kijang,Ulangi1
104,Animal,Ape,kera atau beruk,Ulangi1
105,Animal,Baboon,babon,Ulangi1
106,Animal,Bat,kelelawar,Ulangi1
107,Animal,Bear,beruang,Ulangi1
108,Animal,Bee,lebah,Ulangi1
109,Animal,Bird,burung,Ulangi1
110,Animal,Buffalo,banteng,Ulangi1
111,Animal,Butterfly,kupu-kupu,Ulangi1
112,Animal,Camel,unta,Ulangi1
113,Animal,Cat,kucing,Ulangi1
114,Animal,Caterpillar,ulat bulu,Ulangi1
115,Animal,Catfish,ikan lele,Ulangi1
116,Animal,Centipede,lipan,Ulangi1
117,Animal,Chicken,ayam,Ulangi1
118,Animal,Cockroach,kecoak,Ulangi1
119,Animal,Cow,sapi,Ulangi1
120,Animal,Crab,kepiting,Ulangi1
121,Animal,Crocodile,buaya,Ulangi1
122,Animal,Crow,burung gagak,Ulangi1
123,Animal,Cricket,jangkrik,Ulangi1
124,Animal,Deer,rusa,Ulangi1
125,Animal,Dog,anjing,Ulangi1
126,Animal,Dolphin,lumba-lumba,Ulangi1
127,Animal,Donkey,keledai,Ulangi1
128,Animal,Dragonfly,capung,Ulangi1
129,Animal,Duck,bebek,Ulangi1
130,Animal,Eagle,burung elang,Ulangi1
131,Animal,Eel,belut,Ulangi1
132,Animal,Elephant,gajah,Ulangi1
133,Animal,Fox,serigala,Ulangi1
134,Animal,Firefly,kunang-kunang,Ulangi1
135,Animal,Fish,ikan,Ulangi1
136,Animal,Flamingo,burung flamingo,Ulangi1
137,Animal,Fly,lalat,Ulangi1
138,Animal,Frog,katak,Ulangi1
139,Animal,Ferret,musang,Ulangi1
140,Animal,Gecko,tokek,Ulangi1
