id,label,b_inggris,b_indo,status
1,Most 1000,a,A,default
2,Most 1000,ability,kemampuan,default
3,Most 1000,able,mampu,default
4,Most 1000,about,tentang,default
5,Most 1000,above,di atas,default
6,Most 1000,accept,menerima,default
7,Most 1000,according,menurut,default
8,Most 1000,account,akun,default
9,Most 1000,across,lintas,default
10,Most 1000,act,bertindak,default
11,Most 1000,action,tindakan,default
12,Most 1000,activity,aktivitas,default
13,Most 1000,actually,Sebenarnya,default
14,Most 1000,add,menambahkan,default
15,Most 1000,address,alamat,default
16,Most 1000,administration,administrasi,default
17,Most 1000,admit,mengakui,default
18,Most 1000,adult,dewasa,default
19,Most 1000,affect,memengaruhi,default
20,Most 1000,after,setelah,default
21,Most 1000,again,lagi,default
22,Most 1000,against,melawan,default
23,Most 1000,age,usia,default
24,Most 1000,agency,agen,default
25,Most 1000,agent,agen,default
26,Most 1000,ago,yang lalu,default
27,Most 1000,agree,setuju,default
28,Most 1000,agreement,perjanjian,default
29,Most 1000,ahead,di depan,default
30,Most 1000,air,udara,default
31,Most 1000,all,semua,default
32,Most 1000,allow,mengizinkan,default
33,Most 1000,almost,hampir,default
34,Most 1000,alone,sendiri,default
35,Most 1000,along,bersama,default
36,Most 1000,already,sudah,default
37,Most 1000,also,Juga,default
38,Most 1000,although,meskipun,default
39,Most 1000,always,selalu,default
40,Most 1000,American,Amerika,default
41,Most 1000,among,di antara,default
42,Most 1000,amount,jumlah,default
43,Most 1000,analysis,analisis,default
44,Most 1000,and,Dan,default
45,Most 1000,animal,satwa,default
46,Most 1000,another,lain,default
47,Most 1000,answer,menjawab,default
48,Most 1000,any,setiap,default
49,Most 1000,anyone,siapa pun,default
50,Most 1000,anything,apa pun,default
51,Most 1000,appear,muncul,default
52,Most 1000,apply,menerapkan,default
53,Most 1000,approach,mendekati,default
54,Most 1000,area,daerah,default
55,Most 1000,argue,membantah,default
56,Most 1000,arm,lengan,default
57,Most 1000,around,sekitar,default
58,Most 1000,arrive,tiba,default
59,Most 1000,art,seni,default
60,Most 1000,article,artikel,default
61,Most 1000,artist,artis,default
62,Most 1000,as,sebagai,default
63,Most 1000,ask,bertanya,default
64,Most 1000,assume,menganggap,default
65,Most 1000,at,pada,default
66,Most 1000,attack,menyerang,default
67,Most 1000,attention,Perhatian,default
68,Most 1000,attorney,pengacara,default
69,Most 1000,audience,hadirin,default
70,Most 1000,author,pengarang,default
71,Most 1000,authority,otoritas,default
72,Most 1000,available,tersedia,default
73,Most 1000,avoid,menghindari,default
74,Most 1000,away,jauh,default
75,Most 1000,baby,Sayang,default
76,Most 1000,back,kembali,default
77,Most 1000,bad,buruk,default
78,Most 1000,bag,tas,default
79,Most 1000,ball,bola,default
80,Most 1000,bank,bank,default
81,Most 1000,bar,batang,default
82,Most 1000,base,basis,default
83,Most 1000,be,menjadi,default
84,Most 1000,beat,mengalahkan,default
85,Most 1000,beautiful,cantik,default
86,Most 1000,because,Karena,default
87,Most 1000,become,menjadi,default
88,Most 1000,bed,tempat tidur,default
89,Most 1000,before,sebelum,default
90,Most 1000,begin,mulai,default
91,Most 1000,behavior,perilaku,default
92,Most 1000,behind,di belakang,default
93,Most 1000,believe,meyakini,default
94,Most 1000,benefit,keuntungan,default
95,Most 1000,best,terbaik,default
96,Most 1000,better,lebih baik,default
97,Most 1000,between,di antara,default
98,Most 1000,beyond,di luar,default
99,Most 1000,big,besar,default
100,Most 1000,bill,tagihan,default
101,Most 1000,billion,miliar,default
102,Most 1000,bit,sedikit,default
103,Most 1000,black,hitam,default
104,Most 1000,blood,darah,default
105,Most 1000,blue,biru,default
106,Most 1000,board,papan,default
107,Most 1000,body,tubuh,default
108,Most 1000,book,buku,default
109,Most 1000,born,dilahirkan,default
110,Most 1000,both,keduanya,default
111,Most 1000,box,kotak,default
112,Most 1000,boy,anak laki-laki,default
113,Most 1000,break,merusak,default
114,Most 1000,bring,membawa,default
115,Most 1000,brother,saudara laki-laki,default
116,Most 1000,budget,anggaran,default
117,Most 1000,build,membangun,default
118,Most 1000,building,bangunan,default
119,Most 1000,business,bisnis,default
120,Most 1000,but,Tetapi,default
121,Most 1000,buy,membeli,default
122,Most 1000,by,oleh,default
123,Most 1000,call,panggilan,default
124,Most 1000,camera,kamera,default
125,Most 1000,campaign,kampanye,default
126,Most 1000,can,Bisa,default
127,Most 1000,cancer,kanker,default
128,Most 1000,candidate,calon,default
129,Most 1000,capital,modal,default
130,Most 1000,car,mobil,default
131,Most 1000,card,kartu,default
132,Most 1000,care,peduli,default
133,Most 1000,career,karier,default
134,Most 1000,carry,membawa,default
135,Most 1000,case,kasus,default
136,Most 1000,catch,menangkap,default
137,Most 1000,cause,menyebabkan,default
138,Most 1000,cell,sel,default
139,Most 1000,center,tengah,default
140,Most 1000,central,pusat,default
141,Most 1000,century,abad,default
142,Most 1000,certain,yakin,default
143,Most 1000,certainly,tentu,default
144,Most 1000,chair,kursi,default
145,Most 1000,challenge,tantangan,default
146,Most 1000,chance,peluang,default
147,Most 1000,change,mengubah,default
148,Most 1000,character,karakter,default
149,Most 1000,charge,mengenakan biaya,default
150,Most 1000,check,memeriksa,default
151,Most 1000,child,anak,default
152,Most 1000,choice,pilihan,default
153,Most 1000,choose,memilih,default
154,Most 1000,church,gereja,default
155,Most 1000,citizen,warga negara,default
156,Most 1000,city,kota,default
157,Most 1000,civil,sipil,default
158,Most 1000,claim,mengeklaim,default
159,Most 1000,class,kelas,default
160,Most 1000,clear,jernih,default
161,Most 1000,clearly,jelas,default
162,Most 1000,close,menutup,default
163,Most 1000,coach,pelatih,default
164,Most 1000,cold,dingin,default
165,Most 1000,collection,koleksi,default
166,Most 1000,college,kampus,default
167,Most 1000,color,warna,default
168,Most 1000,come,datang,default
169,Most 1000,commercial,komersial,default
170,Most 1000,common,umum,default
171,Most 1000,community,masyarakat,default
172,Most 1000,company,perusahaan,default
173,Most 1000,compare,membandingkan,default
174,Most 1000,computer,komputer,default
175,Most 1000,concern,kekhawatiran,default
176,Most 1000,condition,kondisi,default
177,Most 1000,conference,konferensi,default
178,Most 1000,Congress,Kongres,default
179,Most 1000,consider,mempertimbangkan,default
180,Most 1000,consumer,konsumen,default
181,Most 1000,contain,berisi,default
182,Most 1000,continue,melanjutkan,default
183,Most 1000,control,kontrol,default
184,Most 1000,cost,biaya,default
185,Most 1000,could,bisa,default
186,Most 1000,country,negara,default
187,Most 1000,couple,pasangan,default
188,Most 1000,course,kursus,default
189,Most 1000,court,pengadilan,default
190,Most 1000,cover,menutupi,default
191,Most 1000,create,membuat,default
192,Most 1000,crime,kejahatan,default
193,Most 1000,cultural,kultural,default
194,Most 1000,culture,budaya,default
195,Most 1000,cup,cangkir,default
196,Most 1000,current,saat ini,default
197,Most 1000,customer,pelanggan,default
198,Most 1000,cut,memotong,default
199,Most 1000,dark,gelap,default
200,Most 1000,data,data,default
201,Most 1000,daughter,anak perempuan,default
202,Most 1000,day,hari,default
203,Most 1000,dead,mati,default
204,Most 1000,deal,kesepakatan,default
205,Most 1000,death,kematian,default
206,Most 1000,debate,perdebatan,default
207,Most 1000,decade,dasawarsa,default
208,Most 1000,decide,memutuskan,default
209,Most 1000,decision,keputusan,default
210,Most 1000,deep,dalam,default
211,Most 1000,defense,pertahanan,default
212,Most 1000,degree,derajat,default
213,Most 1000,Democrat,Demokrat,default
214,Most 1000,democratic,demokratis,default
215,Most 1000,describe,menggambarkan,default
216,Most 1000,design,desain,default
217,Most 1000,despite,meskipun,default
218,Most 1000,detail,detail,default
219,Most 1000,determine,menentukan,default
220,Most 1000,develop,mengembangkan,default
221,Most 1000,development,perkembangan,default
222,Most 1000,die,mati,default
223,Most 1000,difference,perbedaan,default
224,Most 1000,different,berbeda,default
225,Most 1000,difficult,sulit,default
226,Most 1000,dinner,makan malam,default
227,Most 1000,direction,arah,default
228,Most 1000,director,Direktur,default
229,Most 1000,discover,menemukan,default
230,Most 1000,discuss,membahas,default
231,Most 1000,discussion,diskusi,default
232,Most 1000,disease,penyakit,default
233,Most 1000,do,Mengerjakan,default
234,Most 1000,doctor,dokter,default
235,Most 1000,dog,anjing,default
236,Most 1000,door,pintu,default
237,Most 1000,down,turun,default
238,Most 1000,draw,menggambar,default
239,Most 1000,dream,mimpi,default
240,Most 1000,drive,menyetir,default
241,Most 1000,drop,menjatuhkan,default
242,Most 1000,drug,obat,default
243,Most 1000,during,selama,default
244,Most 1000,each,setiap,default
245,Most 1000,early,lebih awal,default
246,Most 1000,east,timur,default
247,Most 1000,easy,mudah,default
248,Most 1000,eat,makan,default
249,Most 1000,economic,ekonomis,default
250,Most 1000,economy,ekonomi,default
251,Most 1000,edge,tepian,default
252,Most 1000,education,pendidikan,default
253,Most 1000,effect,memengaruhi,default
254,Most 1000,effort,upaya,default
255,Most 1000,eight,delapan,default
256,Most 1000,either,salah satu,default
257,Most 1000,election,pemilihan,default
258,Most 1000,else,kalau tidak,default
259,Most 1000,employee,karyawan,default
260,Most 1000,end,akhir,default
261,Most 1000,energy,energi,default
262,Most 1000,enjoy,menikmati,default
263,Most 1000,enough,cukup,default
264,Most 1000,enter,memasuki,default
265,Most 1000,entire,seluruh,default
266,Most 1000,environment,lingkungan,default
267,Most 1000,environmental,lingkungan,default
268,Most 1000,especially,khususnya,default
269,Most 1000,establish,mendirikan,default
270,Most 1000,even,bahkan,default
271,Most 1000,evening,malam,default
272,Most 1000,event,peristiwa,default
273,Most 1000,ever,pernah,default
274,Most 1000,every,setiap,default
275,Most 1000,everybody,semua orang,default
276,Most 1000,everyone,setiap orang,default
277,Most 1000,everything,semuanya,default
278,Most 1000,evidence,bukti,default
279,Most 1000,exactly,tepat,default
280,Most 1000,example,contoh,default
281,Most 1000,executive,eksekutif,default
282,Most 1000,exist,ada,default
283,Most 1000,expect,mengharapkan,default
284,Most 1000,experience,pengalaman,default
285,Most 1000,expert,pakar,default
286,Most 1000,explain,menjelaskan,default
287,Most 1000,eye,mata,default
288,Most 1000,face,menghadapi,default
289,Most 1000,fact,fakta,default
290,Most 1000,factor,faktor,default
291,Most 1000,fail,gagal,default
292,Most 1000,fall,jatuh,default
293,Most 1000,family,keluarga,default
294,Most 1000,far,jauh,default
295,Most 1000,fast,cepat,default
296,Most 1000,father,ayah,default
297,Most 1000,fear,takut,default
298,Most 1000,federal,federal,default
299,Most 1000,feel,merasa,default
300,Most 1000,feeling,merasa,default
301,Most 1000,few,sedikit,default
302,Most 1000,field,bidang,default
303,Most 1000,fight,bertarung,default
304,Most 1000,figure,angka,default
305,Most 1000,fill,mengisi,default
306,Most 1000,film,film,default
307,Most 1000,final,terakhir,default
308,Most 1000,finally,Akhirnya,default
309,Most 1000,financial,keuangan,default
310,Most 1000,find,menemukan,default
311,Most 1000,fine,Bagus,default
312,Most 1000,finger,jari,default
313,Most 1000,finish,menyelesaikan,default
314,Most 1000,fire,api,default
315,Most 1000,firm,tegas,default
316,Most 1000,first,Pertama,default
317,Most 1000,fish,ikan,default
318,Most 1000,five,lima,default
319,Most 1000,floor,lantai,default
320,Most 1000,fly,terbang,default
321,Most 1000,focus,fokus,default
322,Most 1000,follow,mengikuti,default
323,Most 1000,food,makanan,default
324,Most 1000,foot,kaki,default
325,Most 1000,for,untuk,default
326,Most 1000,force,memaksa,default
327,Most 1000,foreign,luar negeri,default
328,Most 1000,forget,lupa,default
329,Most 1000,form,membentuk,default
330,Most 1000,former,mantan,default
331,Most 1000,forward,maju,default
332,Most 1000,four,empat,default
333,Most 1000,free,bebas,default
334,Most 1000,friend,teman,default
335,Most 1000,from,dari,default
336,Most 1000,front,depan,default
337,Most 1000,full,penuh,default
338,Most 1000,fund,dana,default
339,Most 1000,future,masa depan,default
340,Most 1000,game,permainan,default
